feature,importance
cyanobacteria,0.16594720522408418
turbidity_sat,0.1571415767536476
chl_a,0.10996647418748343
ndti,0.09157005823499417
ndti_lag1,0.0711713249190604
ndci_chl_product,0.07114469139550428
ndci,0.0676558118178266
cdom,0.02948739909881939
z_ndti,0.02841051656899758
multi_feature_z_count,0.02260307556353468
lst_cyano_risk,0.019462622973356273
tds_lag1,0.01826017356910772
tds_ph_interaction,0.017545731364786578
z_chl_a,0.015720993278158957
ndwi,0.014787240365434906
z_lst,0.013950463629008342
lst_water_celsius,0.013558517150117426
tds,0.013142308962271788
doc,0.012123785713612535
sin_month,0.010410473874607432
z_ndci,0.008650746555311964
lst_tds_interaction,0.007724753844405001
cos_month,0.005327404423722617
z_ph,0.00478948565105592
ph_lag1,0.0030764335577346228
z_tds,0.0026207564353352935
ph,0.0026144697268965515
lst_delta,0.0007926641307472943
lst_weight,0.00017754206038564016
lst_age_days,0.0001652989699908184
z_cyano,0.0
tds_delta,0.0
ph_delta,0.0
