feature,importance
cyanobacteria,0.40346909888776045
multi_feature_z_count,0.10137015210632902
z_ndci,0.06447036076315257
sin_month,0.04777124450331478
turbidity_sat,0.04060948835741049
chl_a,0.03646302985932452
z_chl_a,0.033604424968778614
ndci_chl_product,0.02779202504784708
ndci,0.025638661580082475
tds,0.02334887934088438
z_ndti,0.023055657939140557
tds_ph_interaction,0.022749804861291925
ndti_lag1,0.022355309899218863
doc,0.0203297473271111
z_tds,0.019287884531619545
ndwi,0.01793076981013068
cdom,0.017526392542200165
ndti,0.01252008636405488
cos_month,0.009653842217685919
tds_lag1,0.008488491204495498
z_ph,0.008073697679277512
ph,0.0071009135176149825
ph_lag1,0.006390036691273833
tds_delta,0.0
ph_delta,0.0
