Calibration loaded.
Send 'P' to pause/resume measurements.
pH, PPM, Conductivity, Water Quality Index
pH: 6.98
PPM: 10.53
Conductivity [uS/cm]: 18.95

pH: 7.01
PPM: 10.39
Conductivity [uS/cm]: 18.70

pH: 7.00
PPM: 10.80
Conductivity [uS/cm]: 19.45

pH: 7.00
PPM: 9.98
Conductivity [uS/cm]: 17.96

pH: 6.99
PPM: 9.57
Conductivity [uS/cm]: 17.22

pH: 6.98
PPM: 9.84
Conductivity [uS/cm]: 17.71

pH: 6.98
PPM: 8.19
Conductivity [uS/cm]: 14.74

pH: 6.97
PPM: 9.01
Conductivity [uS/cm]: 16.23

pH: 6.97
PPM: 9.15
Conductivity [uS/cm]: 16.47

pH: 6.96
PPM: 8.88
Conductivity [uS/cm]: 15.98

pH: 6.94
PPM: 9.84
Conductivity [uS/cm]: 17.71

pH: 6.95
PPM: 9.01
Conductivity [uS/cm]: 16.23

pH: 6.94
PPM: 9.57
Conductivity [uS/cm]: 17.22

pH: 6.92
PPM: 9.43
Conductivity [uS/cm]: 16.97

pH: 6.92
PPM: 9.98
Conductivity [uS/cm]: 17.96

pH: 6.93
PPM: 9.29
Conductivity [uS/cm]: 16.72

pH: 6.90
PPM: 8.74
Conductivity [uS/cm]: 15.73

pH: 6.89
PPM: 8.32
Conductivity [uS/cm]: 14.98

pH: 6.89
PPM: 9.43
Conductivity [uS/cm]: 16.97

pH: 6.89
PPM: 9.57
Conductivity [uS/cm]: 17.22

pH: 6.89
PPM: 9.70
Conductivity [uS/cm]: 17.47

pH: 6.89
PPM: 9.15
Conductivity [uS/cm]: 16.47

pH: 6.87
PPM: 8.74
Conductivity [uS/cm]: 15.73

pH: 6.89
PPM: 10.25
Conductivity [uS/cm]: 18.46

pH: 6.91
PPM: 9.57
Conductivity [uS/cm]: 17.22

pH: 6.91
PPM: 11.49
Conductivity [uS/cm]: 20.68

pH: 6.88
PPM: 11.63
Conductivity [uS/cm]: 20.93

pH: 6.87
PPM: 11.35
Conductivity [uS/cm]: 20.44

pH: 6.88
PPM: 11.35
Conductivity [uS/cm]: 20.44

pH: 6.88
PPM: 10.53
Conductivity [uS/cm]: 18.95

pH: 6.87
PPM: 11.90
Conductivity [uS/cm]: 21.42

pH: 6.88
PPM: 10.12
Conductivity [uS/cm]: 18.21

pH: 6.87
PPM: 10.25
Conductivity [uS/cm]: 18.46

pH: 6.87
PPM: 11.22
Conductivity [uS/cm]: 20.19

pH: 6.87
PPM: 10.53
Conductivity [uS/cm]: 18.95

pH: 6.87
PPM: 10.94
Conductivity [uS/cm]: 19.69

pH: 6.85
PPM: 10.53
Conductivity [uS/cm]: 18.95

pH: 6.86
PPM: 10.12
Conductivity [uS/cm]: 18.21

pH: 6.85
PPM: 11.35
Conductivity [uS/cm]: 20.44

pH: 6.85
PPM: 11.63
Conductivity [uS/cm]: 20.93

pH: 6.85
PPM: 11.63
Conductivity [uS/cm]: 20.93

pH: 6.82
PPM: 11.49
Conductivity [uS/cm]: 20.68

pH: 6.83
PPM: 11.35
Conductivity [uS/cm]: 20.44

pH: 6.79
PPM: 10.25
Conductivity [uS/cm]: 18.46

pH: 6.81
PPM: 10.53
Conductivity [uS/cm]: 18.95

pH: 6.81
PPM: 10.39
Conductivity [uS/cm]: 18.70

pH: 6.79
PPM: 11.63
Conductivity [uS/cm]: 20.93

pH: 6.78
PPM: 10.25
Conductivity [uS/cm]: 18.46

pH: 6.78
PPM: 10.80
Conductivity [uS/cm]: 19.45

pH: 6.80
PPM: 11.08
Conductivity [uS/cm]: 19.94

pH: 6.78
PPM: 10.39
Conductivity [uS/cm]: 18.70

pH: 6.78
PPM: 10.53
Conductivity [uS/cm]: 18.95

pH: 6.76
PPM: 10.25
Conductivity [uS/cm]: 18.46

pH: 6.77
PPM: 10.67
Conductivity [uS/cm]: 19.20

pH: 6.77
PPM: 9.98
Conductivity [uS/cm]: 17.96

pH: 6.77
PPM: 10.25
Conductivity [uS/cm]: 18.46

pH: 6.74
PPM: 10.67
Conductivity [uS/cm]: 19.20

pH: 6.74
PPM: 10.25
Conductivity [uS/cm]: 18.46

pH: 6.72
PPM: 10.39
Conductivity [uS/cm]: 18.70

pH: 6.72
PPM: 10.12
Conductivity [uS/cm]: 18.21

pH: 6.71
PPM: 10.25
Conductivity [uS/cm]: 18.46

pH: 6.71
PPM: 10.53
Conductivity [uS/cm]: 18.95

pH: 6.69
PPM: 10.25
Conductivity [uS/cm]: 18.46

pH: 6.70
PPM: 10.39
Conductivity [uS/cm]: 18.70

pH: 6.71
PPM: 10.53
Conductivity [uS/cm]: 18.95

pH: 6.69
PPM: 10.53
Conductivity [uS/cm]: 18.95

pH: 6.69
PPM: 10.12
Conductivity [uS/cm]: 18.21

pH: 6.69
PPM: 10.25
Conductivity [uS/cm]: 18.46

pH: 6.69
