timestamp,ph,tds_ppm
2025-04-25T10:00:00,5.98,146.52
2025-04-25T10:00:02,6.05,171.77
2025-04-25T10:00:04,6.13,179.02
2025-04-25T10:00:06,6.19,178.56
2025-04-25T10:00:08,6.25,160.66
2025-04-25T10:00:10,6.3,146.17
2025-04-25T10:00:12,6.37,132.46
2025-04-25T10:00:14,6.44,117.5
2025-04-25T10:00:16,6.46,108.9
2025-04-25T10:00:18,6.46,106.95
2025-04-25T10:00:20,6.48,105.49
2025-04-25T10:00:22,6.56,103.65
2025-04-25T10:00:24,6.62,103.65
2025-04-25T10:00:26,6.63,103.41
2025-04-25T10:00:28,6.6,97.64
2025-04-25T10:00:30,6.69,96.04
2025-04-25T10:00:32,6.68,94.55
2025-04-25T10:00:34,6.73,96.04
2025-04-25T10:00:36,6.73,96.04
2025-04-25T10:00:38,6.77,96.16
2025-04-25T10:00:40,6.75,96.53
2025-04-25T10:00:42,6.78,96.16
2025-04-25T10:00:44,6.81,96.53
2025-04-25T10:00:46,6.8,94.18
2025-04-25T10:00:48,6.87,93.32
2025-04-25T10:00:50,6.81,93.69
2025-04-25T10:00:52,6.88,93.69
2025-04-25T10:00:54,6.84,93.69
2025-04-25T10:00:56,6.89,93.44
2025-04-25T10:00:58,6.87,93.32
2025-04-25T10:01:00,6.87,93.56
2025-04-25T10:01:02,6.89,92.82
2025-04-25T10:01:04,6.87,93.32
2025-04-25T10:01:06,6.87,92.95
2025-04-25T10:01:08,6.94,93.07
2025-04-25T10:01:10,6.87,93.07
2025-04-25T10:01:12,6.93,92.95
2025-04-25T10:01:14,6.85,93.44
2025-04-25T10:01:16,6.95,93.94
2025-04-25T10:01:18,6.87,93.56
2025-04-25T10:01:20,6.94,93.44
2025-04-25T10:01:22,6.89,93.81
2025-04-25T10:01:24,6.96,93.94
2025-04-25T10:01:26,6.9,94.18
2025-04-25T10:01:28,6.95,94.31
2025-04-25T10:01:30,6.94,94.31
2025-04-25T10:01:32,7.09,173.16
2025-04-25T10:01:34,6.74,176.72
2025-04-25T10:01:36,6.61,172.92
2025-04-25T10:01:38,6.73,161.7
