timestamp,tds_ppm,ph,water_body,label
2022-01-01,332.4,7.76,river,normal
2022-01-03,319.3,7.62,river,normal
2022-01-05,341.7,7.73,river,normal
2022-01-07,366.3,7.7,river,normal
2022-01-09,325.1,7.91,river,normal
2022-01-11,327.9,7.78,river,normal
2022-01-13,375.9,7.8,river,normal
2022-01-15,358.3,7.7,river,normal
2022-01-17,330.0,7.69,river,normal
2022-01-19,358.0,7.71,river,normal
2022-01-21,335.4,7.84,river,normal
2022-01-23,337.9,7.73,river,normal
2022-01-25,358.2,7.84,river,normal
2022-01-27,306.8,8.12,river,normal
2022-01-29,314.0,7.95,river,normal
2022-01-31,345.4,7.77,river,normal
2022-02-02,336.6,8.01,river,normal
2022-02-04,372.1,7.78,river,normal
2022-02-06,343.8,7.54,river,normal
2022-02-08,333.4,7.7,river,normal
2022-02-10,407.5,7.58,river,normal
2022-02-12,367.3,7.81,river,normal
2022-02-14,376.7,7.87,river,normal
2022-02-16,341.3,8.13,river,normal
2022-02-18,365.2,7.93,river,normal
2022-02-20,383.4,7.86,river,normal
2022-02-22,353.6,8.02,river,normal
2022-02-24,393.5,7.57,river,normal
2022-02-26,370.7,7.94,river,normal
2022-02-28,380.0,8.03,river,normal
2022-03-02,373.7,7.69,river,normal
2022-03-04,436.4,8.09,river,normal
2022-03-06,391.0,7.97,river,normal
2022-03-08,366.1,7.86,river,normal
2022-03-10,414.2,8.03,river,normal
2022-03-12,364.2,8.27,river,normal
2022-03-14,400.9,7.96,river,normal
2022-03-16,347.5,7.98,river,normal
2022-03-18,364.1,7.87,river,normal
2022-03-20,402.8,7.82,river,normal
2022-03-22,417.0,8.07,river,normal
2022-03-24,403.3,7.82,river,normal
2022-03-26,396.5,7.96,river,normal
2022-03-28,392.1,7.88,river,normal
2022-03-30,362.9,8.02,river,normal
2022-04-01,382.0,8.0,river,normal
2022-04-03,388.5,8.11,river,normal
2022-04-05,426.3,7.87,river,normal
2022-04-07,408.3,7.91,river,normal
2022-04-09,355.4,7.8,river,normal
2022-04-11,407.2,7.88,river,normal
2022-04-13,389.0,8.0,river,normal
2022-04-15,381.2,8.06,river,normal
2022-04-17,412.7,7.8,river,normal
2022-04-19,422.5,8.07,river,normal
2022-04-21,419.2,8.14,river,normal
2022-04-23,374.0,8.0,river,normal
2022-04-25,386.2,8.21,river,normal
2022-04-27,401.1,7.81,river,normal
2022-04-29,416.1,7.74,river,normal
2022-05-01,2178.4,5.85,river,industrial_discharge
2022-05-03,2184.4,6.34,river,industrial_discharge
2022-05-05,2160.0,6.21,river,industrial_discharge
2022-05-07,2156.2,6.1,river,industrial_discharge
2022-05-09,2204.8,6.14,river,industrial_discharge
2022-05-11,2216.8,5.93,river,industrial_discharge
2022-05-13,379.3,8.26,river,normal
2022-05-15,404.4,7.9,river,normal
2022-05-17,386.5,7.9,river,normal
2022-05-19,359.3,7.98,river,normal
2022-05-21,382.5,7.94,river,normal
2022-05-23,409.8,7.89,river,normal
2022-05-25,368.3,7.74,river,normal
2022-05-27,406.1,7.92,river,normal
2022-05-29,299.3,8.12,river,normal
2022-05-31,383.0,8.03,river,normal
2022-06-02,362.3,8.06,river,normal
2022-06-04,350.2,7.74,river,normal
2022-06-06,357.5,7.66,river,normal
2022-06-08,303.1,7.78,river,normal
2022-06-10,344.7,7.8,river,normal
2022-06-12,356.6,7.95,river,normal
2022-06-14,382.0,7.52,river,normal
2022-06-16,329.5,8.0,river,normal
2022-06-18,319.5,7.74,river,normal
2022-06-20,324.5,7.69,river,normal
2022-06-22,357.3,7.59,river,normal
