date_start,date_end,anomaly,anomaly_type,notes
2022-05-01,2022-05-28,1,2,mock — algal_bloom
2023-03-01,2023-03-28,1,4,mock — industrial_discharge
2023-07-01,2023-07-28,1,6,mock — acid_mine_drainage
2024-01-01,2024-01-28,1,2,mock — algal_bloom
2024-06-01,2024-06-28,1,1,mock — turbidity_event
2024-10-01,2024-10-28,1,4,mock — industrial_discharge
2022-03-01,2022-03-14,1,4,mock — sensor_only_event
2022-09-01,2022-09-14,1,4,mock — sensor_only_event
2023-03-01,2023-03-14,1,4,mock — sensor_only_event
2023-09-01,2023-09-14,1,4,mock — sensor_only_event
2024-03-01,2024-03-14,1,4,mock — sensor_only_event
2024-09-01,2024-09-14,1,4,mock — sensor_only_event
