feature,importance
chl_a,0.23235951238196667
turbidity_sat,0.1999472747554636
ndci_chl_product,0.09073314946336544
lst_water_celsius,0.07660036362462136
tds_ph_interaction,0.05420546698539001
cyanobacteria,0.05410917551175924
tds,0.05005548595098848
lst_tds_interaction,0.045326545127293116
ndwi,0.03048470909182683
ndci,0.027630616954947406
sin_month,0.018254855664164668
ndti_lag1,0.016938314213060558
ndti,0.015240405338019377
cdom,0.014526610892033366
doc,0.01293358573647321
ph,0.01092859765906281
z_ndti,0.010179363129104472
cos_month,0.009654453968699756
z_ndci,0.007231331157785433
tds_lag1,0.005628112664470906
ph_lag1,0.005432824281874286
z_chl_a,0.0050786798811380575
z_cyano,0.0034617078310812295
lst_delta,0.0009926723477451918
lst_weight,0.0009366304177450663
lst_age_days,0.0007194945090433375
z_tds,0.00016924240549983703
ph_delta,0.00013192539955883943
tds_delta,7.003509513083129e-05
z_ph,3.885756068660172e-05
lst_cyano_risk,0.0
multi_feature_z_count,0.0
