feature,importance
cyanobacteria,0.14488893236162004
turbidity_sat,0.11253120634238314
ndti,0.09671238856291053
chl_a,0.08709074852561444
ndci_chl_product,0.08329687298565376
ndti_lag1,0.06526545705000714
tds_ph_interaction,0.0616800501282045
ndci,0.06020240002117914
tds,0.059912877172872
multi_feature_z_count,0.031247625687841847
z_chl_a,0.031122024851991514
z_tds,0.026442350361962543
z_ph,0.023213692156697142
z_ndti,0.02257190275295904
tds_lag1,0.020991751797199736
z_ndci,0.020749770975321477
ph,0.016649521199529952
cdom,0.008427353043391362
doc,0.007006968840138196
ndwi,0.006182372972250103
ph_lag1,0.0039914778205551215
sin_month,0.0029470425894208754
cos_month,0.0029429758824539515
tds_delta,0.0019762805959195064
ph_delta,0.0019559553219229103
lst_age_days,0.0
lst_water_celsius,0.0
lst_weight,0.0
lst_tds_interaction,0.0
z_cyano,0.0
lst_cyano_risk,0.0
z_lst,0.0
lst_delta,0.0
